time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.57115978791e-08,-7.24946266656e-08,10.0041040678,6.28307139797,6.28303679489,0.0,1.02702639512e-05,-8.2149926152e-06,0.136794927457,-0.00599528886608,-0.00795307694557,0.0,449.00322645002103,448.35771316892266,448.40794748690683,447.9207804441602
0.12000000000000001,5.85327268325e-06,-4.39689117193e-06,10.0160198651,6.2827423888,6.28230209414,0.0,0.000244014607129,-0.000172239774082,0.260377459195,-0.00447899678614,-0.0226217500418,0.0,445.6152550714315,444.4148624323738,443.6228809891801,443.7474421864945
0.18,4.17258503752e-05,-2.37870173319e-05,10.0327015322,6.28266169558,6.28095032856,0.0,0.00107692313863,-0.000489650871708,0.295669130365,0.00428385311942,-0.0223454361077,0.0,415.58920884860095,415.6133541178641,415.9025559076618,416.669240849385
0.23999999999999996,0.000162524050978,-6.37542643248e-05,10.0556512984,6.28317733713,6.28006547845,0.0,0.00307157839958,-0.000797640092133,0.469266940954,0.0160590748966,-0.00275157176934,0.0,458.24821888995496,459.8029398173235,460.05920987138194,460.9903471383387
0.3,0.000416277809006,-0.000104977088278,10.088220439,0.00252364891939,6.27998064192,0.0,0.00540014462935,-0.00035949549748,0.616302572551,0.0701096617529,0.00113560757271,0.0,451.86545516644395,452.17869045163684,449.45634145366114,453.81581509467327
0.36000000000000004,0.000816302914463,-4.78902855481e-05,10.1313404036,0.00631166216468,6.27970220126,0.0,0.00794165480836,0.00273876396466,0.820902931954,0.0431183077306,-0.0198712507952,0.0,470.4625563022587,468.83353112110024,470.0755476537918,467.9820975074318
0.4200000000000001,0.00137095814707,0.000259777890265,10.1840505512,0.00854799005042,6.27856625862,0.0,0.0106678102204,0.00777159413338,0.936012062105,0.0217934555732,-0.0171179444504,0.0,441.4672077968219,441.6943486321691,444.0465558428186,442.29459427263276
0.48000000000000015,0.00212097342868,0.000926945191713,10.2454098474,0.0095086021462,6.27751179379,0.0,0.0144493747778,0.0145980929707,1.10914384993,0.000756142180115,-0.0185032890118,0.0,460.47413421500346,460.3646276859452,461.2678314261881,459.6036209938194
0.5400000000000001,0.00313934223483,0.00204776465722,10.3200466766,0.00941158315268,6.27635678529,0.0,0.0196384225461,0.0227571546861,1.37846446787,-0.0068451490565,-0.020787205007,0.0,487.92152797495396,487.75108657150656,490.2729407064838,489.7079475454803
0.6000000000000002,0.00446941902283,0.00361383042005,10.4065877837,0.00861482772596,6.27503438092,0.0,0.0248325003413,0.02938463119,1.50607895174,-0.0310150169173,-0.0246712546671,0.0,447.4828130720167,447.1665389216247,448.59427836038014,446.62757134291655
0.6600000000000003,0.0061262794483,0.00554092816718,10.499126351,0.00677209355674,6.27374157279,0.0,0.030530478148,0.0346697886886,1.57844280829,-0.0301135569874,-0.0159345790877,0.0,430.4948635411549,431.2333969949737,429.7346383736322,429.8106862076523
0.7200000000000003,0.00813582745524,0.00774025110894,10.5946658183,0.005113594744,6.27298476444,0.0,0.0365315989515,0.0384828322625,1.60616758446,-0.0231076002388,-0.00668446032854,0.0,415.81175442157803,416.62135091459425,415.20831321303353,415.8221939099468
0.7800000000000004,0.0105354158205,0.0101476049938,10.6936218242,0.00384009856568,6.27207162822,0.0,0.0435076089944,0.0416289620617,1.69224227282,-0.0177033479366,-0.0437101071613,0.0,436.9094790486053,433.8116997712883,434.46075382710796,434.91358105400354
0.8400000000000004,0.0134320036773,0.012735346551,10.8021626278,0.0029450279253,6.26936888992,0.0,0.053364933949,0.0445092243967,1.92541800378,-0.00985971607645,-0.0478593268734,0.0,480.2995343095065,479.9837611024195,479.5912271660241,480.1866798892354
0.9000000000000005,0.0169345638571,0.0154655214685,10.9209846328,0.002606933194,6.26648019346,0.0,0.0636821953632,0.046449087577,2.03512192592,0.00170120385378,-0.0487221795612,0.0,444.12395457113786,444.0517644368279,442.62085328573045,443.5713061222724
0.9600000000000005,0.0210844502865,0.0183023941258,11.0445035814,0.00255364028076,6.26340026687,0.0,0.0749278698073,0.0481159177093,2.08208633877,-0.00664844452891,-0.0571404560194,0.0,424.0641060589789,423.3385429137825,424.42780355475617,423.71063800639524
1.0200000000000005,0.026004769943,0.0212407700897,11.1725732371,0.0019726462127,6.26012296229,0.0,0.0894225376323,0.0497799463659,2.18670006432,-0.01657377372,-0.0500099064757,0.0,441.57424348895205,442.160014658316,443.75928796666267,442.9439560469904
1.0800000000000005,0.0318273985698,0.0242620303463,11.3054745917,0.000689170247745,6.25696794106,0.0,0.104955924774,0.050821869629,2.24322798574,-0.0333783152508,-0.0583021585491,0.0,429.0375385378369,428.3310068513325,427.3579929790949,425.9231998607895
1.1400000000000006,0.0386913602023,0.0273178708249,11.4435118753,6.28168733723,6.25376907575,0.0,0.124183579234,0.0508220306577,2.35777493349,-0.0434429457446,-0.0448503464476,0.0,445.7247459160679,446.82078153318525,446.96240502342175,446.1408083496333
1.2000000000000006,0.0467221866216,0.0303288352398,11.5866986742,6.27924387542,6.25080684974,0.0,0.14377522803,0.0493025268149,2.41498913636,-0.0357781731775,-0.0604294943786,0.0,429.55076414956744,428.2259199589528,428.14096896054156,428.79163516597475
1.2600000000000007,0.0560041750683,0.0332007710017,11.7337857604,6.2771400202,6.24760604461,0.0,0.165950460876,0.0462211902401,2.48774422333,-0.0336736342531,-0.0420126094111,0.0,432.10144389749263,433.64912545036873,435.0068830008154,435.18251574554694
